birdnet_scientific_name,avilist_scientific_name,avibase_id,cornell_code,match_method
Cygnus atratus,Cygnus atratus,avibase-46B54DB1,blkswa,exact
Cygnus buccinator,Cygnus buccinator,avibase-B86C504C,truswa,exact
Cygnus columbianus,Cygnus columbianus,avibase-0BCBA6B9,tunswa,exact
Cygnus cygnus,Cygnus cygnus,avibase-BDDB5670,whoswa,exact
Cygnus melancoryphus,Cygnus melancoryphus,avibase-B8C652E6,blnswa2,exact
Cygnus olor,Cygnus olor,avibase-694C127A,mutswa,exact
Cymbilaimus lineatus,Cymbilaimus lineatus,avibase-86C7F489,fasant1,exact
Cymbilaimus sanctaemariae,Cymbilaimus sanctaemariae,avibase-279C7965,bamant1,exact
Cymbirhynchus macrorhynchos,Cymbirhynchus macrorhynchos,avibase-2F81A394,barbro1,exact
Cynanthus latirostris,Cynanthus latirostris,avibase-C29BA985,brbhum,exact
Cyornis caerulatus,Cyornis caerulatus,avibase-52C69037,lobblf1,exact
Cyornis concretus,Leucoptilon concretum,avibase-63EF266B,whtfly2,clements_english
Cyornis glaucicomans,Cyornis glaucicomans,avibase-1937A3C8,butfly2,exact
Cyornis hainanus,Cyornis hainanus,avibase-1326E292,habfly1,exact
Cyornis hoevelli,Eumyias hoevelli,avibase-64C5A03E,blffly1,clements_english
Cyornis olivaceus,Cyornis olivaceus,avibase-9265448C,fucjuf1,exact
Cyornis omissus,Cyornis omissus,avibase-24E87291,subfly1,exact
Cyornis pallidipes,Cyornis pallidipes,avibase-C29DEB80,wbbfly1,exact
Cyornis poliogenys,Cyornis poliogenys,avibase-786EFC15,pacblf1,exact
Cyornis rubeculoides,Cyornis rubeculoides,avibase-7CB43266,butfly1,exact
Cyornis rufigastra,Cyornis rufigastra,avibase-52840970,mabfly2,exact
Cyornis sumatrensis,Cyornis sumatrensis,avibase-16C6AC8A,tibfly4,exact
Cyornis superbus,Cyornis superbus,avibase-CA394EC6,bobfly2,exact
Cyornis tickelliae,Cyornis tickelliae,avibase-0EA33C18,tibfly3,exact
Cyornis turcosus,Cyornis turcosus,avibase-A35345E1,mabfly1,exact
Cyornis umbratilis,Cyornis umbratilis,avibase-F63B6317,gycjuf1,exact
Cyornis unicolor,Cyornis unicolor,avibase-480F2C3C,pabfly2,exact
Cyornis whitei,Cyornis whitei,avibase-869DE48B,hibfly1,exact
Cyphorhinus arada,Cyphorhinus arada,avibase-FAF1A289,muswre2,exact
Cyphorhinus phaeocephalus,Cyphorhinus phaeocephalus,avibase-AC56BC49,sonwre1,exact
Cyphorhinus thoracicus,Cyphorhinus thoracicus,avibase-0664F1F4,chbwre3,exact
Cypseloides niger,Cypseloides niger,avibase-7FB66FEB,blkswi,exact
Cypsiurus balasiensis,Cypsiurus balasiensis,avibase-83C40F89,aspswi1,exact
Cypsiurus parvus,Cypsiurus parvus,avibase-DA106373,afpswi1,exact
Cypsnagra hirundinacea,Cypsnagra hirundinacea,avibase-1CB32C48,whrtan1,exact
Cyrtonyx montezumae,Cyrtonyx montezumae,avibase-6A641ED7,monqua,exact
Cyrtonyx ocellatus,Cyrtonyx ocellatus,avibase-A5DA64FF,ocequa1,exact
Dacelo gaudichaud,Dacelo gaudichaud,avibase-8AA36DB0,rubkoo1,exact
Dacelo leachii,Dacelo leachii,avibase-6F0C3A53,blwkoo1,exact
Dacelo novaeguineae,Dacelo novaeguineae,avibase-94AF4A47,laukoo1,exact
Dacnis cayana,Dacnis cayana,avibase-C72B6A62,bludac1,exact
Dacnis flaviventer,Dacnis flaviventer,avibase-85288724,yebdac1,exact
Dacnis lineata,Dacnis lineata,avibase-B2FA0B23,,exact
Dacnis venusta,Dacnis venusta,avibase-223EB3AD,sctdac1,exact
Dactylortyx thoracicus,Dactylortyx thoracicus,avibase-CDF3BB98,sinqua1,exact
Daphoenositta chrysoptera,Daphoenositta chrysoptera,avibase-99536A00,varsit8,exact
Daption capense,Daption capense,avibase-AAC2D613,cappet,exact
Daptrius ater,Daptrius ater,avibase-9D271B2D,blacar1,exact
Dasylophus cumingi,Dasylophus cumingi,avibase-653D9BD0,scfmal1,exact
Dasyornis brachypterus,Dasyornis brachypterus,avibase-68FB5B90,easbri1,exact
Dasyornis broadbenti,Dasyornis broadbenti,avibase-CA9DB79D,rufbri1,exact
Dasyornis longirostris,Dasyornis longirostris,avibase-8710A7E5,wesbri1,exact
Deconychura longicauda,Deconychura longicauda,avibase-15B327AC,lotwoo4,exact
Delichon dasypus,Delichon dasypus,avibase-15FD4123,ashmar1,exact
Delichon urbicum,Delichon urbicum,avibase-30FEC6BE,comhom1,exact
Dendragapus fuliginosus,Dendragapus fuliginosus,avibase-E4A5B66A,soogro1,exact
Dendragapus obscurus,Dendragapus obscurus,avibase-A55D83A9,dusgro,exact
Dendrexetastes rufigula,Dendrexetastes rufigula,avibase-272E0085,citwoo1,exact
Dendrocincla anabatina,Dendrocincla anabatina,avibase-635B57DB,tawwoo1,exact
Dendrocincla fuliginosa,Dendrocincla fuliginosa,avibase-A31278C7,plbwoo1,exact
Dendrocincla homochroa,Dendrocincla homochroa,avibase-A36EA748,rudwoo1,exact
Dendrocincla merula,Dendrocincla merula,avibase-A3525AA5,whcwoo1,exact
Dendrocincla turdina,Dendrocincla turdina,avibase-D0715ED8,plwwoo1,exact
Dendrocincla tyrannina,Dendrocincla tyrannina,avibase-871963BC,tyrwoo1,exact
Dendrocitta cinerascens,Dendrocitta cinerascens,avibase-1DF3553B,bortre1,exact
Dendrocitta formosae,Dendrocitta formosae,avibase-81FFAAC2,grytre1,exact
Dendrocitta leucogastra,Dendrocitta leucogastra,avibase-C7567600,whbtre1,exact
Dendrocitta vagabunda,Dendrocitta vagabunda,avibase-959E1633,ruftre2,exact
Dendrocolaptes certhia,Dendrocolaptes certhia,avibase-8B206172,amabaw1,exact
Dendrocolaptes picumnus,Dendrocolaptes picumnus,avibase-3459505D,blbwoo1,exact
Dendrocolaptes platyrostris,Dendrocolaptes platyrostris,avibase-47AA703F,plawoo1,exact
Dendrocolaptes sanctithomae,Dendrocolaptes sanctithomae,avibase-89B7BA8E,nobwoo1,exact
Dendrocopos analis,Dendrocopos analis,avibase-036D7192,frbwoo1,exact
Dendrocopos darjellensis,Dendrocopos darjellensis,avibase-16E5AF15,darwoo1,exact
Dendrocopos himalayensis,Dendrocopos himalayensis,avibase-C6F400B4,himwoo1,exact
Dendrocopos hyperythrus,Dendrocopos hyperythrus,avibase-DC1B8B91,rubwoo1,exact
Dendrocopos leucopterus,Dendrocopos leucopterus,avibase-E8AFCFD1,whwwoo1,exact
Dendrocopos leucotos,Dendrocopos leucotos,avibase-4507ACD7,whbwoo1,exact
Dendrocopos macei,Dendrocopos macei,avibase-00B39690,fubwoo2,exact
Dendrocopos major,Dendrocopos major,avibase-D754DB85,grswoo,exact
Dendrocopos syriacus,Dendrocopos syriacus,avibase-3F54E5FD,syrwoo1,exact
Dendrocoptes auriceps,Dendrocoptes auriceps,avibase-3716A0FB,brfwoo1,exact
Dendrocoptes medius,Dendrocoptes medius,avibase-504B2FD4,miswoo1,exact
Dendrocygna arcuata,Dendrocygna arcuata,avibase-69D272A6,wawduc1,exact
Dendrocygna autumnalis,Dendrocygna autumnalis,avibase-C01A22D6,bbwduc,exact
Dendrocygna bicolor,Dendrocygna bicolor,avibase-9A60617E,fuwduc,exact
Dendrocygna eytoni,Dendrocygna eytoni,avibase-A467AD00,plwduc1,exact
Dendrocygna javanica,Dendrocygna javanica,avibase-BD683E6E,lewduc1,exact
Dendrocygna viduata,Dendrocygna viduata,avibase-A534AFEA,wfwduc1,exact
Dendroma erythroptera,Dendroma erythroptera,avibase-74802DF9,chwfog1,exact
Dendroma rufa,Dendroma rufa,avibase-A9CCA8B6,bffgle,exact
Dendronanthus indicus,Dendronanthus indicus,avibase-8E872FAA,forwag1,exact
Dendroplex picus,Dendroplex picus,avibase-9C163605,stbwoo2,exact
Dendrortyx barbatus,Dendrortyx barbatus,avibase-B2082233,bewpar1,exact
Dendrortyx leucophrys,Dendrortyx leucophrys,avibase-AF3E329B,bcwpar1,exact
Dendrortyx macroura,Dendrortyx macroura,avibase-B6A6A4A0,ltwpar1,exact
Deroptyus accipitrinus,Deroptyus accipitrinus,avibase-821D0A48,refpar3,exact
Dicaeum aeneum,Dicaeum aeneum,avibase-7BFF5F7A,midflo1,exact
Dicaeum agile,Pachyglossa agilis,avibase-78B55ACC,thbflo1,clements_english
Dicaeum australe,Dicaeum australe,avibase-1C0CB747,resflo1,exact
Dicaeum chrysorrheum,Pachyglossa chrysorrhea,avibase-4AFCA9BB,yevflo1,clements_english
Dicaeum concolor,Dicaeum concolor,avibase-62585CD8,plaflo1,exact
Dicaeum cruentatum,Dicaeum cruentatum,avibase-10016732,scbflo1,exact
Dicaeum erythrorhynchos,Dicaeum erythrorhynchos,avibase-BDB26F7B,pabflo1,exact
Dicaeum hirundinaceum,Dicaeum hirundinaceum,avibase-4E08D31A,mistle1,exact
Dicaeum ignipectus,Dicaeum ignipectus,avibase-907DF569,fibflo1,exact
Dicaeum minullum,Dicaeum minullum,avibase-F26BDDA7,plaflo2,exact
Dicaeum pygmaeum,Dicaeum pygmaeum,avibase-4E318300,pygflo1,exact
Dicaeum trigonostigma,Dicaeum trigonostigma,avibase-3E81AAE0,orbflo1,exact
Dicaeum tristrami,Dicaeum tristrami,avibase-376EC06B,motflo1,exact
Dichrozona cincta,Dichrozona cincta,avibase-4D776E0B,banant2,exact
Dicrurus adsimilis,Dicrurus adsimilis,avibase-11FE7313,fotdro5,exact
Dicrurus aeneus,Dicrurus aeneus,avibase-DD177B0B,brodro1,exact
Dicrurus andamanensis,Dicrurus andamanensis,avibase-EED766E8,anddro1,exact
Dicrurus annectens,Dicrurus annectens,avibase-DC9537C7,crbdro1,exact
Dicrurus atripennis,Dicrurus atripennis,avibase-28AC53BE,shidro1,exact
Dicrurus balicassius,Dicrurus balicassius,avibase-C9B27637,balica1,exact
Dicrurus bracteatus,Dicrurus bracteatus,avibase-FEB566B5,spadro1,exact
Dicrurus caerulescens,Dicrurus caerulescens,avibase-994E98B3,whbdro1,exact
Dicrurus forficatus,Dicrurus forficatus,avibase-6B0FC56C,credro1,exact
Dicrurus hottentottus,Dicrurus hottentottus,avibase-00E2192F,hacdro1,exact
Dicrurus leucophaeus,Dicrurus leucophaeus,avibase-5FD53BB1,ashdro1,exact
Dicrurus ludwigii,Dicrurus ludwigii,avibase-E79026DE,cstdro1,exact
Dicrurus macrocercus,Dicrurus macrocercus,avibase-D90F9B0B,bladro1,exact
Dicrurus montanus,Dicrurus montanus,avibase-8C728466,suldro1,exact
Dicrurus paradiseus,Dicrurus paradiseus,avibase-2042CD42,grtdro1,exact
Dicrurus remifer,Dicrurus remifer,avibase-B5EE2DEF,lrtdro1,exact
Diglossa albilatera,Diglossa albilatera,avibase-C33D6D15,whsflo1,exact
Diglossa baritula,Diglossa baritula,avibase-C143A152,cibflo1,exact
Diglossa brunneiventris,Diglossa brunneiventris,avibase-C77C89B2,bktflo1,exact
Diglossa caerulescens,Diglossa caerulescens,avibase-C14678F4,bluflo1,exact
Diglossa cyanea,Diglossa cyanea,avibase-480CCA00,masflo1,exact
Diglossa glauca,Diglossa glauca,avibase-ACA0A34E,debflo1,exact
Diglossa gloriosissima,Diglossa gloriosissima,avibase-B5A814A5,chbflo1,exact
Diglossa humeralis,Diglossa humeralis,avibase-CC7387DB,blkflo1,exact
Diglossa indigotica,Diglossa indigotica,avibase-AC4EB902,indflo1,exact
Diglossa lafresnayii,Diglossa lafresnayii,avibase-2C186D87,gloflo1,exact
Diglossa mystacalis,Diglossa mystacalis,avibase-24F6EAA1,mouflo1,exact
Diglossa plumbea,Diglossa plumbea,avibase-ECCF2395,slaflo1,exact
Diglossa sittoides,Diglossa sittoides,avibase-4D0ECEE5,rusflo1,exact
Dinemellia dinemelli,Dinemellia dinemelli,avibase-00B07B12,whbwea1,exact
Dinopium benghalense,Dinopium benghalense,avibase-4E1BC720,bkrfla1,exact
Dinopium javanense,Dinopium javanense,avibase-8A613564,comfla1,exact
Dinopium rafflesii,Gecinulus rafflesii,avibase-FFD0A230,olbwoo2,clements_english
Diomedea exulans,Diomedea exulans,avibase-A28D8D38,wanalb1,exact
Diopsittaca nobilis,Diopsittaca nobilis,avibase-A4E6B481,resmac2,exact
Diuca diuca,Diuca diuca,avibase-4DF5197A,codfin1,exact
Dives dives,Dives dives,avibase-19784EAF,melbla1,exact
Dives warczewiczi,Dives warczewiczi,avibase-6C3773C7,scrbla1,exact
Dolichonyx oryzivorus,Dolichonyx oryzivorus,avibase-F845062F,boboli,exact
Donacobius atricapilla,Donacobius atricapilla,avibase-878C7D44,bkcdon,exact
Donacospiza albifrons,Donacospiza albifrons,avibase-DA61C0A1,ltrfin1,exact
Doryfera ludovicae,Doryfera ludovicae,avibase-0EB01930,grflan1,exact
Drepanis coccinea,Drepanis coccinea,avibase-A71C0CB7,iiwi,exact
Drepanornis albertisi,Drepanornis albertisi,avibase-B6F1F3D3,blbsic1,exact
Dromas ardeola,Dromas ardeola,avibase-C3E33FEB,craplo1,exact
Dromococcyx pavoninus,Dromococcyx pavoninus,avibase-489295C7,pavcuc1,exact
Dromococcyx phasianellus,Dromococcyx phasianellus,avibase-D3951510,phecuc1,exact
Drymodes brunneopygia,Drymodes brunneopygia,avibase-0608D05C,sosrob1,exact
Drymophila caudata,Drymophila caudata,avibase-4B4906E5,lotant1,exact
Drymophila devillei,Drymophila devillei,avibase-3C30F1FF,strant2,exact
Drymophila ferruginea,Drymophila ferruginea,avibase-709726B5,ferant1,exact
Drymophila genei,Drymophila genei,avibase-E61F1309,rutant1,exact
Drymophila hellmayri,Drymophila hellmayri,avibase-7694CC98,samant2,exact
Drymophila klagesi,Drymophila klagesi,avibase-1529C213,klaant2,exact
Drymophila malura,Drymophila malura,avibase-CD39AC6E,dutant1,exact
Drymophila ochropyga,Drymophila ochropyga,avibase-FE350DF7,ocrant1,exact
Drymophila rubricollis,Drymophila rubricollis,avibase-65F875D0,berant1,exact
Drymophila squamata,Drymophila squamata,avibase-ECED89A9,scaant2,exact
Drymophila striaticeps,Drymophila striaticeps,avibase-C48433AA,sthant1,exact
Drymornis bridgesii,Drymornis bridgesii,avibase-12FF1A15,scbwoo4,exact
Dryobates affinis,Veniliornis affinis,avibase-E6263EA8,reswoo1,clements_english
Dryobates albolarvatus,Leuconotopicus albolarvatus,avibase-6C74415D,whhwoo,clements_english
Dryobates arizonae,Leuconotopicus arizonae,avibase-0DA5CC35,ariwoo,clements_english
Dryobates borealis,Leuconotopicus borealis,avibase-0BFCAE79,recwoo,clements_english
Dryobates callonotus,Veniliornis callonotus,avibase-3AA3F6E4,scbwoo3,clements_english
Dryobates cassini,Veniliornis cassini,avibase-C17751ED,gocwoo2,clements_english
Dryobates cathpharius,Dryobates cathpharius,avibase-5B8F3EA2,crbwoo6,exact
Dryobates dignus,Veniliornis dignus,avibase-34E5F17C,yevwoo1,clements_english
Dryobates frontalis,Veniliornis frontalis,avibase-3CB11881,dofwoo1,clements_english
Dryobates fumigatus,Leuconotopicus fumigatus,avibase-5481FBB2,smbwoo1,clements_english
Dryobates kirkii,Veniliornis kirkii,avibase-CB586CF6,rerwoo1,clements_english
Dryobates lignarius,Veniliornis lignarius,avibase-D205DDEE,strwoo6,clements_english
Dryobates maculifrons,Veniliornis maculifrons,avibase-EA9E9A2D,yeewoo1,clements_english
Dryobates minor,Dryobates minor,avibase-AB2F4BC0,leswoo1,exact
Dryobates mixtus,Veniliornis mixtus,avibase-88632649,chewoo3,clements_english
Dryobates nigriceps,Veniliornis nigriceps,avibase-FED6FBFC,babwoo2,clements_english
Dryobates nuttallii,Dryobates nuttallii,avibase-FA087E52,nutwoo,exact
Dryobates passerinus,Veniliornis passerinus,avibase-898101E6,litwoo2,clements_english
Dryobates pubescens,Dryobates pubescens,avibase-1B2A6386,dowwoo,exact
Dryobates scalaris,Dryobates scalaris,avibase-2CE418F2,labwoo,exact
Dryobates spilogaster,Veniliornis spilogaster,avibase-68000D95,whswoo2,clements_english
Dryobates stricklandi,Leuconotopicus stricklandi,avibase-97F0A2DF,strwoo,clements_english
Dryobates villosus,Leuconotopicus villosus,avibase-9D06AF89,haiwoo,clements_english
Dryocopus javensis,Dryocopus javensis,avibase-08741518,whbwoo2,exact
Dryocopus lineatus,Dryocopus lineatus,avibase-3CD8FECC,linwoo1,exact
Dryocopus martius,Dryocopus martius,avibase-EDB4BBA6,blawoo1,exact
Dryocopus pileatus,Dryocopus pileatus,avibase-00635FF9,pilwoo,exact
Dryocopus schulzii,Dryocopus schulzii,avibase-43089030,blbwoo3,exact
Dryolimnas cuvieri,Dryolimnas cuvieri,avibase-41D9C3F5,whtrai1,exact
Dryoscopus cubla,Dryoscopus cubla,avibase-00855728,blbpuf2,exact
Dryoscopus gambensis,Dryoscopus gambensis,avibase-7DE7F0ED,norpuf1,exact
Dubusia castaneoventris,Dubusia castaneoventris,avibase-8D39D4CB,cbmtan1,exact
Dubusia taeniata,Dubusia taeniata,avibase-E9BC5A13,bubmot3,exact
Ducula aenea,Ducula aenea,avibase-579C780F,gripig1,exact
Ducula badia,Ducula badia,avibase-16E10A30,moipig1,exact
Ducula basilica,Ducula basilica,avibase-9E62A587,cbipig2,exact
Ducula bicolor,Ducula bicolor,avibase-61DC1C21,piipig1,exact
Ducula concinna,Ducula concinna,avibase-D3D367E9,elipig1,exact
Ducula lacernulata,Ducula lacernulata,avibase-DE801C89,dbipig1,exact
Ducula latrans,Ducula latrans,avibase-F834A4DD,peipig1,exact
Ducula pacifica,Ducula pacifica,avibase-2081777C,paipig1,exact
Ducula perspicillata,Ducula perspicillata,avibase-1F49D2C5,wheimp2,exact
Ducula pinon,Ducula pinon,avibase-1E6361D1,piipig2,exact
Ducula pistrinaria,Ducula pistrinaria,avibase-FF2005EB,isipig1,exact
Ducula poliocephala,Ducula poliocephala,avibase-31042F32,pbipig1,exact
Ducula rubricera,Ducula rubricera,avibase-D03EA6BA,rkipig1,exact
Ducula spilorrhoa,Ducula spilorrhoa,avibase-A251CB8F,torimp1,exact
Ducula zoeae,Ducula zoeae,avibase-7656697A,zoeimp1,exact
Dulus dominicus,Dulus dominicus,avibase-A274284B,palmch1,exact
Dumetella carolinensis,Dumetella carolinensis,avibase-95B77F08,grycat,exact
Dumetia atriceps,Dumetia atriceps,avibase-B517FCCC,dafbab1,exact
Dumetia hyperythra,Dumetia hyperythra,avibase-DC4FBF45,tabbab1,exact
Dysithamnus leucostictus,Dysithamnus leucostictus,avibase-0DA3A022,whsant4,exact
Dysithamnus mentalis,Dysithamnus mentalis,avibase-90AD65F2,plaant1,exact
Dysithamnus occidentalis,Dysithamnus occidentalis,avibase-F894C140,bicant4,exact
Dysithamnus plumbeus,Dysithamnus plumbeus,avibase-C355BFF5,pluant3,exact
Dysithamnus puncticeps,Dysithamnus puncticeps,avibase-D8D88AC0,spcant1,exact
Dysithamnus stictothorax,Dysithamnus stictothorax,avibase-E2B091E8,spbant5,exact
Dysithamnus striaticeps,Dysithamnus striaticeps,avibase-28CB49C7,stcant1,exact
Dysithamnus xanthopterus,Dysithamnus xanthopterus,avibase-85F353D8,rubant2,exact
Eclectus roratus,Eclectus roratus,avibase-88A336F3,eclpar1,exact
Edolisoma montanum,Edolisoma montanum,avibase-419003AD,bkbcus2,exact
Edolisoma tenuirostre,Edolisoma tenuirostre,avibase-8EC4024D,cicada1,exact
Egretta caerulea,Egretta caerulea,avibase-11512CF4,libher,exact
Egretta eulophotes,Egretta eulophotes,avibase-A8E3A3DA,chiegr,exact
Egretta garzetta,Egretta garzetta,avibase-F2858F9F,litegr,exact
Egretta gularis,Egretta gularis,avibase-DF32B1F9,werher,exact
Egretta novaehollandiae,Egretta novaehollandiae,avibase-21044CEC,whfher1,exact
Egretta rufescens,Egretta rufescens,avibase-D8A24A3E,redegr,exact
Egretta sacra,Egretta sacra,avibase-C79F1BF8,pacreh1,exact
Egretta thula,Egretta thula,avibase-AA7901D8,snoegr,exact
Egretta tricolor,Egretta tricolor,avibase-031409C7,triher,exact
Elachura formosa,Elachura formosa,avibase-2721665B,spwbab1,exact
Elaenia albiceps,Elaenia albiceps,avibase-611C997C,whcela1,exact
Elaenia brachyptera,Elaenia brachyptera,avibase-21774F5F,cooela1,exact
Elaenia chiriquensis,Elaenia chiriquensis,avibase-6AC0CC9E,lesela1,exact
Elaenia cristata,Elaenia cristata,avibase-4D9DD372,plcela1,exact
Elaenia fallax,Elaenia fallax,avibase-329042B8,graela3,exact
Elaenia flavogaster,Elaenia flavogaster,avibase-B655AA73,yebela1,exact
Elaenia frantzii,Elaenia frantzii,avibase-97AD0B38,mouela1,exact
Elaenia gigas,Elaenia gigas,avibase-2956BBB3,mobela1,exact
Elaenia martinica,Elaenia martinica,avibase-14ED46F0,carela1,exact
Elaenia mesoleuca,Elaenia mesoleuca,avibase-117278D5,oliela1,exact
Elaenia obscura,Elaenia obscura,avibase-E6A70247,higela2,exact
Elaenia olivina,Elaenia olivina,avibase-0E78426E,sieela2,exact
Elaenia pallatangae,Elaenia pallatangae,avibase-A443B64D,sieela3,exact
Elaenia parvirostris,Elaenia parvirostris,avibase-93E59B5B,smbela1,exact
Elaenia ruficeps,Elaenia ruficeps,avibase-D4A776C8,rucela1,exact
Elaenia sordida,Elaenia sordida,avibase-6DC8331E,higela3,exact
Elaenia spectabilis,Elaenia spectabilis,avibase-79E26221,larela1,exact
Elaenia strepera,Elaenia strepera,avibase-7DDAC0D3,slaela1,exact
Elanoides forficatus,Elanoides forficatus,avibase-1BAC6645,swtkit,exact
Elanus caeruleus,Elanus caeruleus,avibase-97C47F3E,bkskit1,exact
Elanus leucurus,Elanus leucurus,avibase-CAA5E106,whtkit,exact
Electron carinatum,Electron carinatum,avibase-A8FEEA01,kebmot1,exact
Electron platyrhynchum,Electron platyrhynchum,avibase-87A54177,brbmot1,exact
Eleoscytalopus indigoticus,Eleoscytalopus indigoticus,avibase-C1D36A4D,whbtap1,exact
Eleothreptus anomalus,Eleothreptus anomalus,avibase-3B0F1017,siwnig1,exact
Elliotomyia chionogaster,Elliotomyia chionogaster,avibase-18C03F5D,whbhum1,exact
Elminia albonotata,Elminia albonotata,avibase-18ED7458,wtcfly1,exact
Elminia longicauda,Elminia longicauda,avibase-56209052,afbfly1,exact
Elseyornis melanops,Thinornis melanops,avibase-124EBA0D,blfdot1,clements_english
Emarginata sinuata,Emarginata sinuata,avibase-BF0859C5,siccha1,exact
Emberiza aureola,Emberiza aureola,avibase-7574C0E5,yebbun,exact
Emberiza bruniceps,Emberiza bruniceps,avibase-DBF8D184,rehbun1,exact
Emberiza buchanani,Emberiza buchanani,avibase-CF70007E,gyhbun1,exact
Emberiza cabanisi,Emberiza cabanisi,avibase-45059BE8,cabbun1,exact
Emberiza caesia,Emberiza caesia,avibase-A7F3E6AE,crebun2,exact
Emberiza calandra,Emberiza calandra,avibase-9A87EBB0,corbun1,exact
Emberiza capensis,Emberiza capensis,avibase-DE27F1FA,capbun1,exact
Emberiza chrysophrys,Emberiza chrysophrys,avibase-4A50E265,yebbun1,exact
Emberiza cia,Emberiza cia,avibase-4836E64E,rocbun1,exact
Emberiza cineracea,Emberiza cineracea,avibase-7C5AC300,cinbun1,exact
Emberiza cioides,Emberiza cioides,avibase-2D55EC45,meabun1,exact
Emberiza cirlus,Emberiza cirlus,avibase-9AAB8C21,cirbun1,exact
Emberiza citrinella,Emberiza citrinella,avibase-56FB47C0,yellow2,exact
Emberiza elegans,Emberiza elegans,avibase-82D1EE00,yetbun1,exact
Emberiza flaviventris,Emberiza flaviventris,avibase-D1C1A026,gobbun1,exact
Emberiza fucata,Emberiza fucata,avibase-465C35EF,chebun2,exact
Emberiza godlewskii,Emberiza godlewskii,avibase-EF5E5726,godbun1,exact
Emberiza hortulana,Emberiza hortulana,avibase-47210561,ortbun1,exact
Emberiza impetuani,Emberiza impetuani,avibase-6D102D72,lalbun1,exact
Emberiza lathami,Emberiza lathami,avibase-2A4F0DB3,crebun1,exact
Emberiza leucocephalos,Emberiza leucocephalos,avibase-43EF3EA7,pinbun,exact
Emberiza melanocephala,Emberiza melanocephala,avibase-E2D2CB88,blhbun1,exact
Emberiza pallasi,Emberiza pallasi,avibase-C6D6D547,palbun,exact
Emberiza pusilla,Emberiza pusilla,avibase-1866F80E,litbun,exact
Emberiza rustica,Emberiza rustica,avibase-DA9746CE,rusbun,exact
Emberiza sahari,Emberiza sahari,avibase-C7C1A6EB,houbun3,exact
Emberiza schoeniclus,Emberiza schoeniclus,avibase-C0B97874,reebun,exact
Emberiza spodocephala,Emberiza spodocephala,avibase-9787BE57,bkfbun1,exact
Emberiza stewarti,Emberiza stewarti,avibase-E272C456,chbbun1,exact
Emberiza striolata,Emberiza striolata,avibase-CDF4A106,houbun2,exact
Emberiza sulphurata,Emberiza sulphurata,avibase-AB73D3C9,yelbun1,exact
Emberiza tahapisi,Emberiza tahapisi,avibase-0C571D99,cibbun1,exact
Emberiza tristrami,Emberiza tristrami,avibase-A81C4DA6,tribun1,exact
Emberiza variabilis,Emberiza variabilis,avibase-DB4D5342,grybun,exact
Emberiza yessoensis,Emberiza yessoensis,avibase-D8A797E4,ocrbun1,exact
Emberizoides herbicola,Emberizoides herbicola,avibase-BA6FDF30,wtgfin1,exact
Emberizoides ypiranganus,Emberizoides ypiranganus,avibase-26E82632,lesgrf1,exact
Embernagra longicauda,Embernagra longicauda,avibase-0AFB74BC,ptpfin1,exact
Embernagra platensis,Embernagra platensis,avibase-1083DB63,grpfin1,exact
Eminia lepida,Eminia lepida,avibase-31E5F1E9,gycwar3,exact
Empidonax affinis,Empidonax affinis,avibase-010B758B,pinfly1,exact
Empidonax albigularis,Empidonax albigularis,avibase-5CFE6F0D,whtfly1,exact
Empidonax alnorum,Empidonax alnorum,avibase-33808812,aldfly,exact
Empidonax atriceps,Empidonax atriceps,avibase-C5DC7CA8,blcfly1,exact
Empidonax difficilis,Empidonax difficilis,avibase-B12B8816,wesfly,exact
Empidonax flavescens,Empidonax flavescens,avibase-DEE07215,yelfly1,exact
Empidonax flaviventris,Empidonax flaviventris,avibase-7B0669CB,yebfly,exact
Empidonax fulvifrons,Empidonax fulvifrons,avibase-58AC300F,bubfly,exact
Empidonax hammondii,Empidonax hammondii,avibase-1EB2595E,hamfly,exact
Empidonax minimus,Empidonax minimus,avibase-F5837054,leafly,exact
Empidonax oberholseri,Empidonax oberholseri,avibase-499FFF98,dusfly,exact
Empidonax traillii,Empidonax traillii,avibase-5BC4E0EF,wilfly,exact
Empidonax virescens,Empidonax virescens,avibase-2778A3F4,acafly,exact
Empidonax wrightii,Empidonax wrightii,avibase-DACF7A98,gryfly,exact
Empidonomus aurantioatrocristatus,Empidonomus aurantioatrocristatus,avibase-1BAC8667,croslf1,exact
Empidonomus varius,Empidonomus varius,avibase-BD902263,varfly,exact
Enicognathus ferrugineus,Enicognathus ferrugineus,avibase-7A8B7C27,auspar1,exact
Enicognathus leptorhynchus,Enicognathus leptorhynchus,avibase-534CC52A,slbpar1,exact
Enicurus leschenaulti,Enicurus leschenaulti,avibase-FC7AF7E6,whcfor1,exact
Enicurus maculatus,Enicurus maculatus,avibase-94160C77,spofor1,exact
Enicurus schistaceus,Enicurus schistaceus,avibase-B04A5C77,slbfor1,exact
Entomodestes coracinus,Entomodestes coracinus,avibase-C2CEE19A,blasol1,exact
Entomodestes leucotis,Entomodestes leucotis,avibase-26A08D59,whesol1,exact
Entomyzon cyanotis,Entomyzon cyanotis,avibase-3EB7F778,blfhon1,exact
Eolophus roseicapilla,Eolophus roseicapilla,avibase-155F5285,galah,exact
Eophona migratoria,Eophona migratoria,avibase-507C9379,yebgro1,exact
