scientific_name,name
Aegotheles cristatus,オーストラリアズクヨタカ
Aegotheles insignis,オオズクヨタカ
Aegotheles savesi,ニューカレドニアズクヨタカ
Aegotheles tatei,ホシズクヨタカ
Aegotheles wallacii,ウォーレスズクヨタカ
Aegypius monachus,クロハゲワシ
Aenigmatolimnas marginalis,チャバラヒメクイナ
Aepypodius arfakianus,エボシツカツクリ
Aepypodius bruijnii,ワイゲウツカツクリ
Aerodramus amelis,ハイイロアナツバメ
Aerodramus bartschi,グアムムジアナツバメ
Aerodramus brevirostris,ヒマラヤアナツバメ
Aerodramus elaphrus,セーシェルアナツバメ
Aerodramus francicus,ショクヨウアナツバメ
Aerodramus hirundinaceus,ヤマアナツバメ
Aerodramus infuscatus,モルッカアナツバメ
Aerodramus inquietus,カロリンアナツバメ
Aerodramus leucophaeus,タヒチアナツバメ
Aerodramus maximus,オオアナツバメ
Aerodramus mearnsi,フィリピンムジアナツバメ
Aerodramus nuditarsus,パプアヤマアナツバメ
Aerodramus ocistus,マルケサスアナツバメ
Aerodramus orientalis,ガダルカナルアナツバメ
Aerodramus papuensis,パプアカワアナツバメ
Aerodramus pelewensis,ミクロネシアムジアナツバメ
Aerodramus salangana,コケアナツバメ
Aerodramus sawtelli,クックアナツバメ
Aerodramus spodiopygius,コシジロアナツバメ
Aerodramus terraereginae,オーストラリアアナツバメ
Aerodramus unicolor,インドショクヨウアナツバメ
Aerodramus vanikorensis,ムジアナツバメ
Aerodramus vulcanorum,ミヤマアナツバメ
Aerodramus whiteheadi,フィリピンアナツバメ
Aeronautes andecolus,アンデスアマツバメ
Aeronautes montivagus,カタジロアマツバメ
Aeronautes saxatalis,ムナジロアマツバメ
Aerospiza castanilius,ワキアカハイタカ
Aerospiza tachiro,アフリカオオタカ
Aethia cristatella,エトロフウミスズメ
Aethia psittacula,ウミオウム
Aethia pusilla,コウミスズメ
Aethia pygmaea,シラヒゲウミスズメ
Aethomyias arfakianus,コヤブムシクイ
Aethomyias nigrorufus,ミヤマネズミムシクイ
Aethomyias papuensis,パプアヤブムシクイ
Aethomyias perspicillatus,キガオヤブムシクイ
Aethomyias rufescens,アルファクヤブムシクイ
Aethomyias spilodera,ハシジロヤブムシクイ
Aethopyga bella,ハンサムタイヨウチョウ
Aethopyga boltoni,アポタイヨウチョウ
Aethopyga christinae,エンビタイヨウチョウ
Aethopyga duyvenbodei,サンギヘタイヨウチョウ
Aethopyga eximia,シロフサタイヨウチョウ
Aethopyga flagrans,ワキグロタイヨウチョウ
Aethopyga gouldiae,ルリオタイヨウチョウ
Aethopyga guimarasensis,クリエリタイヨウチョウ
Aethopyga ignicauda,アカオタイヨウチョウ
Aethopyga linaraborae,リーナタイヨウチョウ
Aethopyga magnifica,フィリピンキゴシタイヨウチョウ
Aethopyga mystacalis,ヒイロタイヨウチョウ
Aethopyga nipalensis,ミドリオタイヨウチョウ
Aethopyga primigenia,ハチスカタイヨウチョウ
Aethopyga pulcherrima,キムネタイヨウチョウ
Aethopyga saturata,ムナグロタイヨウチョウ
Aethopyga shelleyi,アオヒゲタイヨウチョウ
Aethopyga siparaja,キゴシタイヨウチョウ
Aethopyga temminckii,ミヤマタイヨウチョウ
Aethopyga tibolii,ツボリタイヨウチョウ
Aethopyga vigorsii,イシキゴシタイヨウチョウ
Afropavo congensis,コンゴクジャク
Afrotis afra,クロエリショウノガン
Afrotis afraoides,ハジロクロエリショウノガン
Agamia agami,アカハラサギ
Agapornis canus,カルカヤインコ
Agapornis fischeri,ルリゴシボタンインコ
Agapornis lilianae,ボタンインコ
Agapornis nigrigenis,クロボタンインコ
Agapornis personatus,キエリボタンインコ
Agapornis pullarius,コハナインコ
Agapornis roseicollis,コザクラインコ
Agapornis swindernianus,ワカクサインコ
Agapornis taranta,ハツハナインコ
Agelaioides badius,クリバネコウウチョウ
Agelaioides fringillarius,ウスクリバネコウウチョウ
Agelaius assimilis,アカカタハゴロモガラス
Agelaius humeralis,チャガタハゴロモガラス
Agelaius phoeniceus,ハゴロモガラス
Agelaius tricolor,サンショクハゴロモガラス
Agelaius xanthomus,キガタハゴロモガラス
Agelastes meleagrides,ムナジロホロホロチョウ
Agelastes niger,クロホロホロチョウ
Agelasticus cyanopus,クロハゴロモガラス
Agelasticus thilius,キバネハゴロモガラス
Agelasticus xanthophthalmus,キンメハゴロモガラス
Aglaeactis aliciae,アメシストニジハチドリ
Aglaeactis castelnaudii,シロフサニジハチドリ
Aglaeactis cupripennis,ニジハチドリ
Aglaeactis pamela,ズグロニジハチドリ
Aglaiocercus berlepschi,ベネズエラフタオハチドリ
