scientific_name,name
Caprimulgus rufigena,ホオアカヨタカ
Caprimulgus solala,エチオピアヨタカ
Caprimulgus stellatus,ホシヨタカ
Caprimulgus tristigma,ゴマフヨタカ
Caprimulgus vexillarius,フキナガシヨタカ
Capsiempis flaveola,キイロコバシハエトリ
Caracara lutosa,グアダルーペカラカラ
Caracara plancus,ミナミカラカラ
Cardellina canadensis,クロボシアメリカムシクイ
Cardellina pusilla,ウィルソンアメリカムシクイ
Cardellina rubra,ベニアメリカムシクイ
Cardellina rubrifrons,アカガオアメリカムシクイ
Cardellina versicolor,ズキンベニアメリカムシクイ
Cardinalis cardinalis,ショウジョウコウカンチョウ
Cardinalis phoeniceus,ミナミショウジョウコウカンチョウ
Cardinalis sinuatus,ムネアカコウカンチョウ
Carduelis carduelis,ゴシキヒワ
Carduelis citrinella,シトロンヒワ
Carduelis corsicana,コルシカヒワ
Cariama cristata,アカノガンモドキ
Caridonax fulgidus,コシジロショウビン
Carpococcyx radiceus,ハシリカッコウ
Carpococcyx renauldi,アカハシハシリカッコウ
Carpococcyx viridis,スマトラハシリカッコウ
Carpodacus davidianus,チュウゴクコウザンマシコ
Carpodacus dubius,チュウゴクマミジロマシコ
Carpodacus edwardsii,チャゴシマシコ
Carpodacus erythrinus,アカマシコ
Carpodacus ferreorostris,オガサワラマシコ
Carpodacus formosanus,タイワンマシコ
Carpodacus grandis,ヒマラヤマシコ
Carpodacus pulcherrimus,ヒマラヤコウザンマシコ
Carpodacus puniceus,ムネアカマシコ
Carpodacus rhodochlamys,ヒゴロモマシコ
Carpodacus roborowskii,ハネナガマシコ
Carpodacus rodochroa,バラマユマシコ
Carpodacus rodopeplus,フタスジマシコ
Carpodacus roseus,オオマシコ
Carpodacus rubicilla,シロボシマシコ
Carpodacus rubicilloides,セスジシロボシマシコ
Carpodacus sibiricus,ベニマシコ
Carpodacus sillemi,チベットマシコ
Carpodacus sipahi,シュイロマシコ
Carpodacus stoliczkae,ウスマシコ
Carpodacus subhimachalus,ベニマユマシコ
Carpodacus synoicus,サバクマシコ
Carpodacus thura,ヒマラヤマミジロマシコ
Carpodacus trifasciatus,ミスジマシコ
Carpodacus verreauxii,シャープマシコ
Carpodacus vinaceus,タカサゴマシコ
Carpodacus waltoni,バラゴシマシコ
Carpodectes antoniae,キバシユキカザリドリ
Carpodectes hopkei,クロボシユキカザリドリ
Carpodectes nitidus,ユキカザリドリ
Carpornis cucullata,ズキンカザリドリ
Carpornis melanocephala,ズグロカザリドリ
Carpospiza brachydactyla,ウスイロイワスズメ
Carterornis castus,ヤムデナカササギビタキ
Carterornis chrysomela,キイロカササギビタキ
Carterornis leucotis,ミミジロカササギビタキ
Carterornis pileatus,モルッカカササギビタキ
Caryothraustes canadensis,キミドリイカル
Caryothraustes poliogaster,シロハラキミドリイカル
Casiornis fuscus,ハイノドカシアタイランチョウ
Casiornis rufus,カシアタイランチョウ
Cassiculus melanicterus,キバネツリスドリ
Castanozoster thoracicus,チャムネシトド
Casuarius bennetti,コヒクイドリ
Casuarius casuarius,ヒクイドリ
Casuarius unappendiculatus,パプアヒクイドリ
Catamblyrhynchus diadema,ズキンコウカンチョウ
Catamenia analis,オビオタネワリ
Catamenia homochroa,コウゲンタネワリ
Catamenia inornata,ムジタネワリ
Catharopeza bishopi,メジロアメリカムシクイ
Cathartes aura,ヒメコンドル
Cathartes burrovianus,キガシラコンドル
Cathartes melambrotus,オオキガシラコンドル
Catharus aurantiirostris,アカハシチャツグミ
Catharus bicknelli,ヒスパニョラチャツグミ
Catharus dryas,ムナフチャツグミ
Catharus frantzii,チャボウシツグミ
Catharus fuscater,ウスグロチャツグミ
Catharus fuscescens,ビリーチャツグミ
Catharus gracilirostris,ハシグロチャツグミ
Catharus guttatus,チャイロコツグミ
Catharus mexicanus,ズグロチャツグミ
Catharus minimus,ハイイロチャツグミ
Catharus occidentalis,メキシコチャツグミ
Catharus ustulatus,オリーブチャツグミ
Catherpes mexicanus,ムナジロミソサザイ
Catreus wallichii,カンムリキジ
Catriscus brevirostris,ウチワセッカ
Ceblepyris caesius,ハイイロオオサンショウクイ
Ceblepyris cinereus,マダガスカルオオサンショウクイ
Ceblepyris cucullatus,コモロオオサンショウクイ
Ceblepyris graueri,コムナジロオオサンショウクイ
Ceblepyris pectoralis,ムナジロオオサンショウクイ
Cecropis abyssinica,コズアカコシアカツバメ
Cecropis badia,マラヤコシアカツバメ
Cecropis cucullata,ズアカコシアカツバメ
Cecropis daurica,コシアカツバメ
Cecropis hyperythra,スリランカコシアカツバメ
Cecropis semirufa,アカハラコシアカツバメ
Cecropis senegalensis,アフリカコシアカツバメ
Celebesica abbotti,ミヤマオオサンショウクイ
Celeus castaneus,チャバネテンニョゲラ
Celeus elegans,チャバラテンニョゲラ
Celeus flavescens,キガシラテンニョゲラ
Celeus flavus,オボロテンニョゲラ
Celeus galeatus,ナキクマゲラ
Celeus loricatus,ヒメテンニョゲラ
Celeus lugubris,メガネテンニョゲラ
Celeus obrieni,ケンプフェルテンニョゲラ
Celeus ochraceus,セアカテンニョゲラ
Celeus spectabilis,ムナグロテンニョゲラ
Celeus torquatus,クビワテンニョゲラ
Celeus undatus,シマテンニョゲラ
Centrocercus minimus,ガニソンキジオライチョウ
Centrocercus urophasianus,キジオライチョウ
Centronyx bairdii,バードヒメドリ
Centronyx henslowii,ヘンスローヒメドリ
Centropus andamanensis,アンダマンバンケン
Centropus anselli,チャバラバンケン
Centropus ateralbus,ニューブリテンバンケン
Centropus bengalensis,バンケン
Centropus bernsteini,アカジマバンケン
Centropus burchellii,ズグロバンケン
Centropus celebensis,セレベスバンケン
Centropus chalybeus,ビアクバンケン
Centropus chlororhynchos,セイロンバンケン
Centropus cupreicaudus,ドウイロオナガバンケン
Centropus goliath,オニバンケン
Centropus grillii,ムナグロバンケン
Centropus leucogaster,ノドグロバンケン
Centropus melanops,カオグロバンケン
Centropus menbeki,パプアバンケン
Centropus milo,キガシラバンケン
Centropus monachus,ズアオバンケン
Centropus nigrorufus,ジャワバンケン
Centropus phasianinus,キジバンケン
Centropus rectunguis,コユビバンケン
Centropus senegalensis,セネガルバンケン
Centropus sinensis,オオバンケン
Centropus spilopterus,ケイバンケン
Centropus steerii,ミンドロバンケン
Centropus superciliosus,マミジロバンケン
Centropus toulou,アフリカバンケン
Centropus unirufus,アカチャバンケン
Centropus violaceus,スミレバンケン
Centropus viridis,ミドリバンケン
Cephalopterus glabricollis,アカノドカサドリ
Cephalopterus ornatus,カサドリ
Cephalopterus penduliger,ナガエカサドリ
Cephalopyrus flammiceps,ベニビタイガラ
Cepphus carbo,ケイマフリ
Cepphus columba,ウミバト
Cepphus grylle,ハジロウミバト
Ceratogymna atrata,クロコブサイチョウ
Ceratogymna elata,キンコブサイチョウ
Ceratopipra chloromeros,マルオキモモマイコドリ
Ceratopipra cornuta,アカヅノマイコドリ
Ceratopipra erythrocephala,キガシラマイコドリ
Ceratopipra mentalis,キモモマイコドリ
Ceratopipra rubrocapilla,アカガシラマイコドリ
Cercibis oxycerca,キバシトキ
Cercococcyx mechowi,オナガカッコウ
Cercococcyx montanus,シマオナガカッコウ
Cercococcyx olivinus,オリーブオナガカッコウ
Cercomacra brasiliana,ウスハイイロアリドリ
Cercomacra carbonaria,オナガクロアリドリ
Cercomacra cinerascens,ハイイロアリドリ
Cercomacra ferdinandi,バナナルクロアリドリ
Cercomacra manu,マヌーアリドリ
Cercomacra melanaria,マトグロソクロアリドリ
Cercomacra nigricans,クロアリドリ
Cercomacroides fuscicauda,ミズベクロアリドリ
Cercomacroides laeta,ウィリスクロアリドリ
Cercomacroides nigrescens,カタジロクロアリドリ
Cercomacroides parkeri,パーカークロアリドリ
Cercomacroides serva,ハイグロアリドリ
Cercomacroides tyrannina,ウスグロアリドリ
Cercotrichas galactotes,オタテヤブコマドリ
Cercotrichas hartlaubi,マミジロヤブコマドリ
Cercotrichas leucophrys,フタスジヤブコマドリ
Cercotrichas paena,アカオヤブコマドリ
Cercotrichas podobe,クロヤブコマ
Cereopsis novaehollandiae,ロウバシガン
Cerorhinca monocerata,ウトウ
Certhia americana,アメリカキバシリ
Certhia brachydactyla,タンシキバシリ
Certhia discolor,チャバラキバシリ
Certhia familiaris,キバシリ
Certhia himalayana,ヒマラヤキバシリ
Certhia hodgsoni,ホジソンキバシリ
Certhia manipurensis,マニプルキバシリ
Certhia nipalensis,ワキアカキバシリ
Certhia tianquanensis,シセンキバシリ
Certhiasomus stictolaemus,コオナガオニキバシリ
Certhiaxis cinnamomeus,キバシリカマドドリ
Certhiaxis mustelinus,コキバシリカマドドリ
Certhidea fusca,ハイイロムシクイフィンチ
Certhidea olivacea,ムシクイフィンチ
Certhilauda chuana,コウゲンヤブヒバリ
Certhilauda curvirostris,ハシボソヒバリ
Certhilauda semitorquata,ヒガシハシナガヒバリ
Certhilauda subcoronata,カルーハシナガヒバリ
Certhionyx variegatus,ハジロクロミツスイ
Ceryle rudis,ヒメヤマセミ
Cettia brunnifrons,チャガシラコウグイス
Cettia castaneocoronata,クリガシラコビトサザイ
Cettia cetti,ヨーロッパウグイス
Cettia major,チャガシラウグイス
Ceuthmochares aereus,キバシバンケンモドキ
Ceuthmochares australis,ミナミバンケンモドキ
Ceyx argentatus,セジロカワセミ
Ceyx azureus,ルリミツユビカワセミ
Ceyx cajeli,ブルカワセミ
Ceyx collectoris,ニュージョージアカワセミ
Ceyx cyanopectus,アオオビカワセミ
Ceyx dispar,マヌスカワセミ
Ceyx erithaca,ミツユビカワセミ
Ceyx fallax,セレベスカワセミ
Ceyx flumenicola,キタセジロカワセミ
Ceyx gentianus,マキラカワセミ
Ceyx lepidus,マメカワセミ
Ceyx margarethae,カワリカワセミ
Ceyx meeki,キタソロモンカワセミ
Ceyx melanurus,アカカワセミ
Ceyx mulcatus,ニューアイルランドカワセミ
Ceyx nigromaxilla,ガダルカナルカワセミ
Ceyx pusillus,ヒメミツユビカワセミ
Ceyx rufidorsa,セアカミツユビカワセミ
Ceyx sacerdotis,ニューブリテンカワセミ
Ceyx solitarius,パプアカワセミ
Ceyx wallacii,スラカワセミ
Ceyx websteri,ビスマルクカワセミ
Chaetocercus astreans,サンタマルタエリマキチビハチドリ
Chaetocercus berlepschi,ムナジロチビハチドリ
Chaetocercus bombus,バラノドチビハチドリ
Chaetocercus heliodor,エリマキチビハチドリ
Chaetocercus jourdanii,ハリオハチドリ
Chaetocercus mulsant,シロハラチビハチドリ
Chaetops aurantius,オレンジイワトビヒタキ
Chaetops frenatus,アカイワトビヒタキ
Chaetoptila angustipluma,ハワイカオグロミツスイ
Chaetorhynchus papuensis,パプアオウチュウ
Chaetura andrei,ノドジロタンビハリオアマツバメ
Chaetura brachyura,タンビハリオアマツバメ
Chaetura chapmani,ハイバラハリオアマツバメ
Chaetura cinereiventris,ハイゴシハリオアマツバメ
Chaetura egregia,コシジロハリオアマツバメ
Chaetura fumosa,パナマハリオアマツバメ
Chaetura martinica,アンチルハリオアマツバメ
Chaetura meridionalis,ノドジロタンビハリオアマツバメ
Chaetura pelagica,エントツアマツバメ
Chaetura spinicaudus,シロオビハリオアマツバメ
Chaetura vauxi,ノドジロハリオアマツバメ
Chalcites basalis,マミジロテリカッコウ
Chalcites crassirostris,モルッカテリカッコウ
Chalcites lucidus,ヨコジマテリカッコウ
Chalcites megarhynchus,ハシナガヒメカッコウ
Chalcites meyerii,パプアテリカッコウ
Chalcites minutillus,アカメテリカッコウ
Chalcites osculans,ミミグロカッコウ
Chalcites ruficollis,ノドアカテリカッコウ
Chalcomitra adelberti,キノドタイヨウチョウ
Chalcomitra amethystina,アメシストタイヨウチョウ
Chalcomitra balfouri,ソコトラタイヨウチョウ
Chalcomitra fuliginosa,チョコレートタイヨウチョウ
Chalcomitra hunteri,ノドグロヒムネタイヨウチョウ
Chalcomitra rubescens,アオノドタイヨウチョウ
Chalcomitra senegalensis,ヒムネタイヨウチョウ
Chalcoparia singalensis,ホオアカコバシタイヨウチョウ
Chalcophaps indica,キンバト
Chalcophaps longirostris,タイヘイヨウキンバト
Chalcophaps stephani,チャイロキンバト
Chalcopsitta atra,スミインコ
Chalcopsitta duivenbodei,キバネインコ
Chalcopsitta scintillata,キスジインコ
Chalcostigma herrani,ニジイロコバシハチドリ
Chalcostigma heteropogon,アゴヒゲコバシハチドリ
Chalcostigma olivaceum,オリーブコバシハチドリ
Chalcostigma ruficeps,ズアカコバシハチドリ
Chalcostigma stanleyi,セアオコバシハチドリ
Chalcothraupis ruficervix,キンエリフウキンチョウ
Chalybura buffonii,ワタハラハチドリ
Chalybura urochrysia,ドウイロハチドリ
Chamaea fasciata,ミソサザイモドキ
Chamaepetes goudotii,カマバネシャクケイ
Chamaepetes unicolor,クロシャクケイ
Chamaetylas choloensis,ノドジロムジヒタキ
Chamaetylas fuelleborni,ムナジロムジヒタキ
Chamaetylas poliocephala,マミジロムジヒタキ
Chamaetylas poliophrys,ノドアカムジヒタキ
Chamaeza campanisona,アリツグミ
Chamaeza meruloides,カクレアリツグミ
Chamaeza mollissima,アンデスアリツグミ
Chamaeza nobilis,クロビタイアリツグミ
Chamaeza ruficauda,アカオアリツグミ
Chamaeza turdina,オウギアリツグミ
Charadrius hiaticula,ハジロコチドリ
Charadrius melodus,フエコチドリ
Charadrius semipalmatus,ミズカキチドリ
Charadrius vociferus,フタオビチドリ
Charitospiza eucosma,ヒガラモドキ
Charminetta wilhelminae,コシアカキスジインコ
Charmosyna josefinae,コウゴウインコ
Charmosyna papou,オナガパプアインコ
Charmosynoides margarethae,キフジンインコ
Charmosynopsis pulchella,アカオキスジインコ
Charmosynopsis toxopei,ブルインコ
Chasiempis ibidis,オアフヒタキ
Chasiempis sandwichensis,ハワイヒタキ
Chasiempis sclateri,カウアイヒタキ
Chauna chavaria,クロエリサケビドリ
Chauna torquata,カンムリサケビドリ
Chelictinia riocourii,アフリカツバメトビ
Chelidoptera tenebrosa,ツバメオオガシラ
Chelidorhynx hypoxanthus,キバラオウギビタキ
Chenonetta jubata,タテガミガン
Chenorhamphus campbelli,ズアカヒロハシムシクイ
Chenorhamphus grayi,アオヒロハシムシクイ
Cheramoeca leucosterna,セジロツバメ
Chersomanes albofasciata,シロスジハシボソヒバリ
Chersomanes beesleyi,ビーズレーハシボソヒバリ
Chersophilus duponti,デュポンヒバリ
Chionis albus,サヤハシチドリ
Chionis minor,カオグロサヤハシチドリ
Chionomesa fimbriata,テリノドエメラルドハチドリ
Chionomesa lactea,シロスジエメラルドハチドリ
Chiroxiphia bokermanni,アラリペマイコドリ
Chiroxiphia boliviana,ボリビアセアオマイコドリ
Chiroxiphia caudata,エンビセアオマイコドリ
Chiroxiphia galeata,ヘルメットマイコドリ
Chiroxiphia lanceolata,ハリオセアオマイコドリ
Chiroxiphia linearis,オナガセアオマイコドリ
Chiroxiphia pareola,セアオマイコドリ
Chlamydera cerviniventris,チャバラニワシドリ
Chlamydera guttata,ニシマダラニワシドリ
Chlamydera lauterbachi,キバラニワシドリ
Chlamydera maculata,マダラニワシドリ
Chlamydera nuchalis,オオニワシドリ
Chlamydochaera jefferyi,キンガオサンショウクイ
Chlamydotis macqueenii,サバクフサエリショウノガン
Chlamydotis undulata,フサエリショウノガン
Chlidonias albostriatus,クロビタイアジサシ
Chlidonias hybrida,クロハラアジサシ
Chlidonias leucopterus,ハジロクロハラアジサシ
Chlidonias niger,ハシグロクロハラアジサシ
Chloebia gouldiae,コキンチョウ
Chloephaga hybrida,シロコバシガン
Chloephaga melanoptera,アンデスガン
Chloephaga picta,マゼランガン
Chloephaga poliocephala,コバシガン
Chloephaga rubidiceps,チャガシラコバシガン
Chlorestes candida,シロハラエメラルドハチドリ
Chlorestes cyanus,シロアゴサファイアハチドリ
Chlorestes eliciae,オウゴンサファイアハチドリ
Chlorestes julie,スミレハラハチドリ
Chlorestes notata,アイオハチドリ
Chloridops kona,ハワイマシコ
Chloris ambigua,ズグロカワラヒワ
Chloris chloris,アオカワラヒワ
Chloris kittlitzi,オガサワラカワラヒワ
Chloris monguilloti,ベトナムカワラヒワ
Chloris sinica,カワラヒワ
Chloris spinoides,キバラカワラヒワ
Chloroceryle aenea,コミドリヤマセミ
Chloroceryle amazona,オオミドリヤマセミ
Chloroceryle americana,ミドリヤマセミ
Chloroceryle inda,アカハラミドリヤマセミ
Chlorochrysa calliparaea,ホオアカエメラルドフウキンチョウ
Chlorochrysa nitidissima,ゴシキエメラルドフウキンチョウ
Chlorochrysa phoenicotis,エメラルドフウキンチョウ
Chlorocichla falkensteini,キノドアオヒヨドリ
Chlorocichla flaviventris,キバラアオヒヨドリ
Chlorocichla laetissima,タノシタアオヒヨドリ
Chlorocichla prigoginei,プリゴジンアオヒヨドリ
Chlorocichla simplex,ノドジロアオヒヨドリ
Chlorodrepanis flava,オアフミツスイ
Chlorodrepanis stejnegeri,カウアイミツスイ
Chlorodrepanis virens,ハワイミツスイ
Chlorophanes spiza,ズグロミツドリ
Chlorophoneus bocagei,マユジロシロハラモズ
Chlorophoneus kupeensis,ノドジロハイイロモズ
Chlorophoneus multicolor,タショクミドリヤブモズ
Chlorophoneus nigrifrons,クロガオミドリヤブモズ
Chlorophoneus olivaceus,オリーブミドリヤブモズ
Chlorophoneus sulfureopectus,ミドリヤブモズ
Chlorophonia callophrys,アオボウシミドリフウキンチョウ
Chlorophonia cyanea,ミドリフウキンチョウ
Chlorophonia cyanocephala,キンゴシフウキンチョウ
Chlorophonia elegantissima,ルリゴシサンショクフウキンチョウ
Chlorophonia flavirostris,キエリミドリフウキンチョウ
Chlorophonia musica,サンショクフウキンチョウ
Chlorophonia occipitalis,ズアオミドリフウキンチョウ
Chlorophonia pyrrhophrys,クリムネフウキンチョウ
Chloropicus namaquus,クロヒゲゲラ
Chloropicus pyrrhogaster,アカハラゲラ
Chloropicus xantholophus,キガシラゲラ
Chloropipo flavicapilla,キガシラミドリマイコドリ
Chloropipo unicolor,ペルークロマイコドリ
Chloropsis aurifrons,キビタイコノハドリ
Chloropsis cochinchinensis,アオバネコノハドリ
Chloropsis cyanopogon,コノハドリ
Chloropsis flavipennis,ミンダナオコノハドリ
Chloropsis hardwickii,アカハラコノハドリ
Chloropsis jerdoni,ジャードンコノハドリ
Chloropsis kinabaluensis,ボルネオコノハドリ
Chloropsis media,スマトラコノハドリ
Chloropsis palawanensis,パラワンコノハドリ
Chloropsis sonnerati,オオコノハドリ
Chloropsis venusta,アオメコノハドリ
Chlorornis riefferii,ワカクサフウキンチョウ
Chlorospingus canigularis,ハイノドヤブフウキンチョウ
Chlorospingus flavigularis,キノドヤブフウキンチョウ
Chlorospingus flavopectus,ヤブフウキンチョウ
Chlorospingus inornatus,ホシヤブフウキンチョウ
Chlorospingus parvirostris,コバシヤブフウキンチョウ
Chlorospingus pileatus,マミジロヤブフウキンチョウ
Chlorospingus semifuscus,チャバラヤブフウキンチョウ
Chlorospingus tacarcunae,メジロヤブフウキンチョウ
Chlorostilbon alice,ミドリオヒメエメラルドハチドリ
Chlorostilbon assimilis,パナマヒメエメラルドハチドリ
Chlorostilbon gibsoni,アカハシヒメエメラルドハチドリ
Chlorostilbon lucidus,アオムネヒメエメラルドハチドリ
Chlorostilbon melanorhynchus,ニシアンデスエメラルドハチドリ
Chlorostilbon mellisugus,アイオヒメエメラルドハチドリ
Chlorostilbon olivaresi,コロンビアヒメエメラルドハチドリ
Chlorostilbon poortmani,タンビヒメエメラルドハチドリ
Chlorostilbon russatus,ドウイロヒメエメラルドハチドリ
Chlorostilbon stenurus,ホソオヒメエメラルドハチドリ
Chlorothraupis carmioli,オリーブフウキンチョウ
Chlorothraupis frenata,キビタイオリーブフウキンチョウ
Chlorothraupis olivacea,メガネオリーブフウキンチョウ
Chlorothraupis stolzmanni,キムネオリーブフウキンチョウ
Chondestes grammacus,ヒバリヒメドリ
Chondrohierax uncinatus,カギハシトビ
Chordeiles acutipennis,コアメリカヨタカ
Chordeiles gundlachii,カリブヨタカ
Chordeiles minor,アメリカヨタカ
Chordeiles nacunda,シロハラヨタカ
Chordeiles pusillus,コビトアメリカヨタカ
Chordeiles rupestris,スナイロアメリカヨタカ
Chroicocephalus brunnicephalus,チャガシラカモメ
Chroicocephalus bulleri,ハシグロカモメ
Chroicocephalus cirrocephalus,ズアオカモメ
Chroicocephalus genei,ハシボソカモメ
Chroicocephalus hartlaubii,アフリカギンカモメ
Chroicocephalus maculipennis,ミナミユリカモメ
Chroicocephalus novaehollandiae,ギンカモメ
Chroicocephalus philadelphia,ボナパルトカモメ
Chroicocephalus ridibundus,ユリカモメ
Chroicocephalus serranus,アンデスカモメ
Chrysococcyx caprius,ブロンズミドリカッコウ
Chrysococcyx cupreus,ミドリカッコウ
Chrysococcyx flavigularis,キノドミドリカッコウ
Chrysococcyx klaas,シロハラミドリカッコウ
Chrysococcyx maculatus,ミドリテリカッコウ
Chrysococcyx xanthorhynchus,スミレテリカッコウ
Chrysocolaptes erythrocephalus,ズアカコガネゲラ
Chrysocolaptes festivus,セグロコガネゲラ
Chrysocolaptes guttacristatus,オオコガネゲラ
Chrysocolaptes haematribon,ルソンコガネゲラ
Chrysocolaptes lucidus,コガネゲラ
Chrysocolaptes stricklandi,セアカコガネゲラ
Chrysocolaptes strictus,ジャワコガネゲラ
Chrysocolaptes validus,アカハラコガネゲラ
Chrysocolaptes xanthocephalus,キガオコガネゲラ
Chrysocorythus estherae,ハグロヒワ
Chrysolampis mosquitus,ルビートパーズハチドリ
Chrysolophus amherstiae,ギンケイ
Chrysolophus pictus,キンケイ
Chrysomma altirostre,インドセンニュウチメドリ
Chrysomma sinense,キンメセンニュウチメドリ
Chrysomus icterocephalus,キガシラハゴロモガラス
Chrysomus ruficapillus,チャガシラハゴロモガラス
Chrysophlegma flavinucha,キエリアオゲラ
Chrysophlegma mentale,チャバネアオゲラ
Chrysophlegma miniaceum,シマベニアオゲラ
Chrysothlypis chrysomelas,キンクロフウキンチョウ
Chrysothlypis salmoni,ニショクフウキンチョウ
Chrysuronia boucardi,マングローブエメラルドハチドリ
Chrysuronia brevirostris,ユキムネエメラルドハチドリ
Chrysuronia coeruleogularis,ルリノドハチドリ
Chrysuronia goudoti,ミドリルリノドハチドリ
Chrysuronia grayi,ズアオサファイアハチドリ
Chrysuronia humboldtii,フンボルトサファイアハチドリ
Chrysuronia leucogaster,オグロエメラルドハチドリ
Chrysuronia lilliae,ルリハラハチドリ
Chrysuronia oenone,コガネオハチドリ
Chrysuronia versicolor,アオボウシエメラルドハチドリ
Chunga burmeisteri,ハイイロノガンモドキ
Cichladusa arquata,アサナキヒタキ
Cichladusa guttata,クロボシアサナキヒタキ
Cichladusa ruficauda,アカオアサナキヒタキ
Cichlocolaptes leucophrus,マユナガカマドドリ
Cichlocolaptes mazarbarnetti,インペイカマドドリ
Cichlopsis leucogenys,キノドヒトリツグミ
Cicinnurus regius,ヒヨクドリ
Ciconia abdimii,アオハシコウ
Ciconia boyciana,コウノトリ
Ciconia ciconia,シュバシコウ
Ciconia episcopus,エンビコウ
Ciconia maguari,シロエンビコウ
Ciconia nigra,ナベコウ
Ciconia stormi,スンダエンビコウ
Cinclidium frontale,オグロコンヒタキ
Cinclocerthia gutturalis,ハイイロフルエドリ
Cinclocerthia ruficauda,フルエドリ
Cinclodes albidiventris,クリバネカワカマドドリ
Cinclodes albiventris,キバネカワカマドドリ
Cinclodes antarcticus,クロイソカマドドリ
Cinclodes aricomae,ロイヤルカマドドリ
Cinclodes atacamensis,ハジロカワカマドドリ
Cinclodes comechingonus,コメチンゴネスカワカマドドリ
Cinclodes excelsior,キマユジカマドドリ
Cinclodes fuscus,オビバネカワカマドドリ
Cinclodes nigrofumosus,ウミベカマドドリ
Cinclodes olrogi,アルゼンチンカワカマドドリ
Cinclodes oustaleti,ヒメカワカマドドリ
Cinclodes pabsti,オナガカワカマドドリ
Cinclodes palliatus,シロハラカワカマドドリ
Cinclodes patagonicus,パタゴニアカワカマドドリ
Cinclodes taczanowskii,アライソカマドドリ
Cincloramphus bivittatus,チモールムシクイ
Cincloramphus cruralis,ヒバリモドキ
Cincloramphus grosvenori,ニューブリテンツグミモドキ
Cincloramphus llaneae,ブーゲンビルツグミモドキ
Cincloramphus mariae,カレドニアオナガセッカ
Cincloramphus mathewsi,コシアカヒバリモドキ
Cincloramphus rubiginosus,ハシリツグミモドキ
Cincloramphus rufus,ハチマキムシクイ
Cincloramphus timoriensis,ズアカオオセッカ
Cincloramphus whitneyi,ニューヘブリデスツグミモドキ
Cinclosoma ajax,パプアウズラチメドリ
Cinclosoma alisteri,セアカウズラチメドリ
Cinclosoma castaneothorax,クリムネウズラチメドリ
Cinclosoma castanotum,クリゴシウズラチメドリ
Cinclosoma cinnamomeum,ニッケイウズラチメドリ
Cinclosoma clarum,アカガネウズラチメドリ
Cinclosoma marginatum,ニシウズラチメドリ
Cinclosoma punctatum,ウズラチメドリ
Cinclus cinclus,ムナジロカワガラス
Cinclus leucocephalus,シロガシラカワガラス
Cinclus mexicanus,メキシコカワガラス
Cinclus pallasii,カワガラス
Cinclus schulzii,ノドアカカワガラス
Cinnycerthia fulva,キイロミソサザイ
Cinnycerthia olivascens,オリーブイロミソサザイ
Cinnycerthia peruana,ヒメアカミソサザイ
Cinnycerthia unirufa,アカミソサザイ
Cinnyricinclus leucogaster,シロハラムクドリ
Cinnyris afer,オオゴシキタイヨウチョウ
Cinnyris asiaticus,ムラサキタイヨウチョウ
Cinnyris batesi,ヒメオリーブタイヨウチョウ
Cinnyris bifasciatus,ヒメニシキタイヨウチョウ
Cinnyris bouvieri,キフサタイヨウチョウ
Cinnyris buettikoferi,スンバタイヨウチョウ
Cinnyris chalcomelas,スミレイロニシキタイヨウチョウ
Cinnyris chalybeus,ミナミゴシキタイヨウチョウ
Cinnyris chloropygius,オリーブゴシキタイヨウチョウ
Cinnyris coccinigastrus,ニシキタイヨウチョウ
Cinnyris comorensis,アンジュアンタイヨウチョウ
Cinnyris congensis,オオムネアカオナガタイヨウチョウ
Cinnyris coquerellii,マヨットタイヨウチョウ
Cinnyris cupreus,ブロンズタイヨウチョウ
Cinnyris dussumieri,セーシェルタイヨウチョウ
Cinnyris erythrocercus,ムネアカオナガタイヨウチョウ
Cinnyris fuelleborni,モリゴシキタイヨウチョウ
Cinnyris fuscus,ウスグロタイヨウチョウ
Cinnyris habessinicus,テリタイヨウチョウ
Cinnyris humbloti,コモロタイヨウチョウ
Cinnyris johannae,アカハラタイヨウチョウ
Cinnyris jugularis,キバラタイヨウチョウ
Cinnyris lotenius,クリムネタイヨウチョウ
Cinnyris loveridgei,ハシナガゴシキタイヨウチョウ
Cinnyris ludovicensis,アンゴラゴシキタイヨウチョウ
Cinnyris manoensis,ハイゴシゴシキタイヨウチョウ
Cinnyris mariquensis,ヒガシニシキタイヨウチョウ
Cinnyris mediocris,ゴシキタイヨウチョウ
Cinnyris minullus,コゴシキタイヨウチョウ
Cinnyris moreaui,タンザニアゴシキタイヨウチョウ
Cinnyris nectarinioides,クロハラオナガタイヨウチョウ
Cinnyris neergaardi,クロハラゴシキタイヨウチョウ
Cinnyris notatus,マダガスカルタイヨウチョウ
Cinnyris osea,キタキフサタイヨウチョウ
Cinnyris oustaleti,アンゴラシロハラタイヨウチョウ
Cinnyris pembae,ペンバニシキタイヨウチョウ
Cinnyris prigoginei,ミヤマゴシキタイヨウチョウ
Cinnyris pulchellus,ウツクシオナガタイヨウチョウ
Cinnyris regius,シリアカゴシキタイヨウチョウ
Cinnyris reichenowi,キタゴシキタイヨウチョウ
Cinnyris rockefelleri,コンゴゴシキタイヨウチョウ
Cinnyris rufipennis,ベニバネタイヨウチョウ
Cinnyris shelleyi,ヒムネニシキタイヨウチョウ
Cinnyris solaris,チモールタイヨウチョウ
